filename,label,full_path,session,left_x,left_y,left_z,right_x,right_y,right_z
Session_001/capture_0000.png,colocarPila,../capturas/capturas_256x256/capturasVR\Session_001/capture_0000.png,Session_001,0.02,-0.55,0.09,0.1,-0.55,0.03
Session_001/capture_0001.png,colocarPila,../capturas/capturas_256x256/capturasVR\Session_001/capture_0001.png,Session_001,0.02,-0.55,0.09,0.1,-0.54,0.02
Session_001/capture_0002.png,colocarPila,../capturas/capturas_256x256/capturasVR\Session_001/capture_0002.png,Session_001,0.02,-0.55,0.09,-0.05,-0.33,0.01
Session_001/capture_0003.png,colocarPila,../capturas/capturas_256x256/capturasVR\Session_001/capture_0003.png,Session_001,0.02,-0.57,0.1,-0.02,-0.3,0.06
Session_001/capture_0004.png,colocarPila,../capturas/capturas_256x256/capturasVR\Session_001/capture_0004.png,Session_001,0.02,-0.56,0.09,0.21,-0.21,-0.09
Session_001/capture_0005.png,colocarPila,../capturas/capturas_256x256/capturasVR\Session_001/capture_0005.png,Session_001,0.03,-0.54,0.08,0.52,-0.17,-0.27
Session_001/capture_0006.png,colocarPila,../capturas/capturas_256x256/capturasVR\Session_001/capture_0006.png,Session_001,0.03,-0.56,0.08,0.17,-0.21,-0.12
Session_001/capture_0007.png,colocarPila,../capturas/capturas_256x256/capturasVR\Session_001/capture_0007.png,Session_001,0.03,-0.56,0.08,0.05,-0.28,0.06
Session_001/capture_0008.png,colocarPila,../capturas/capturas_256x256/capturasVR\Session_001/capture_0008.png,Session_001,0.03,-0.55,0.08,0.04,-0.32,-0.01
Session_001/capture_0009.png,colocarPila,../capturas/capturas_256x256/capturasVR\Session_001/capture_0009.png,Session_001,0.03,-0.55,0.08,0.06,-0.34,-0.01
Session_001/capture_0010.png,colocarPila,../capturas/capturas_256x256/capturasVR\Session_001/capture_0010.png,Session_001,0.03,-0.55,0.08,0.06,-0.34,-0.02
Session_001/capture_0011.png,colocarPila,../capturas/capturas_256x256/capturasVR\Session_001/capture_0011.png,Session_001,0.03,-0.57,0.08,-0.05,-0.29,0.22
Session_001/capture_0012.png,colocarPila,../capturas/capturas_256x256/capturasVR\Session_001/capture_0012.png,Session_001,0.03,-0.56,0.07,0.0,-0.28,0.04
